"External ID","Nome","Categoria","Costo","Prezzo di Vendita","Quantità in possesso","Quantità prevista","Riferimento interno","Sequenza","Tipo Prodotto","Unità di misura"
"__export__.product_template_4014_1e722b51","1100.0015, Cap Ceramic, 120pF, 0402, 16V, C0G, 1%, SMD (---)","__export__.product_category_25_3bd84a2e","0.0","1.0","0.0","0.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4038_c5fd612d","1100.0016, Cap Ceramic, 1000pF, 1nF, 0603, 50V, X7R, 10%, SMD (885012206083)","__export__.product_category_25_3bd84a2e","0.0","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4040_d3108918","1100.0017, Cap Ceramic, 1uF, 0402, 6.3V, X7R, 10%, SMD (GRT155R70J105KE01D)","__export__.product_category_25_3bd84a2e","0.0","1.0","500.0","500.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3978_e37ce303","1200.0001, Diode, Zener, 12V, SOT-23, 25 Ohm, SMD (BZX84-C12,215 NEXPERIA)","__export__.product_category_25_3bd84a2e","0.01","0.01","3000.0","3000.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3979_f6da240a","1200.0002, Diode, TVS Uni-Dir, 18V, 2-Pin SMB, SMD, 600W ( SMBJ18A-E3/52 Vishay)","__export__.product_category_25_3bd84a2e","0.01","0.05","750.0","750.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3988_e4894bd8","1200.0003, Diode, TVS Bi-Dir, 18V, 2-Pin SMB, SMD, 600W ( SMBJ18CA-E3/52 Vishay)","__export__.product_category_25_3bd84a2e","0.0","0.0","750.0","750.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_3993_ac074214","1200.0004, MOSFET di potenza, Canale N, 40V, SMD( NVTFS5C466NLWFTAG ON Semiconductor))","__export__.product_category_25_3bd84a2e","0.29","1.0","20.0","40.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4001_ca96c8bd","1200.0005, Diodo Schottky, 100V, 5A, Singolo, DO214AC(SMA), 2 pin, SMD( NVTFS5C466NLWFTAG ON Semiconductor)) (NON USARE)","__export__.product_category_25_3bd84a2e","0.289","0.0","0.0","150.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4003_80764143","1200.0006, MOSFET, -20Vds, 8Vgs, SOT-23, (SI2365EDS-T1-GE3)","__export__.product_category_25_3bd84a2e","0.238","0.0","34.0","34.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4004_bc94e153","1200.0007, Diodo Schottky, 30V, 2A, SMD ( MBR230LSFT1G)","__export__.product_category_25_3bd84a2e","0.238","0.0","66.0","66.0","Prod","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4015_803c40c2","1200.0008, Diodo Schottky, 30V, 200mA, SMD ( NPX BAT54S-E3-08)","__export__.product_category_25_3bd84a2e","0.0","1.0","250.0","250.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4016_d1c61764","1200.0009, TVS Diode, 3.6V, Standoff, SMD ( ESDA041-1JY)","__export__.product_category_25_3bd84a2e","0.0","1.0","100.0","100.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4017_2500afd5","1200.0010, Diodo Schottky, 40V, 5A, SMD (SS54-HF, HTA5U100)","__export__.product_category_9","0.0","1.0","150.0","150.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4020_572305f3","1200.0011, Diodo LED, BI-COLOR, 1204, SMD (WE 155124RV73200; Harvatek B2102USUG-20C-000233)","__export__.product_category_25_3bd84a2e","0.0","1.0","50.0","50.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4028_68b5b624","1200.0012, Mosfet, Depletion Mos, SOT-89, SMD (DN2530N8-G)","__export__.product_category_25_3bd84a2e","0.0","1.0","0.0","0.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4029_3a5a8be4","1200.0013, Mosfet, Canale P, PQFN 3x3mm, 30V, Id=30A, SMD (DMP3007SCG)","__export__.product_category_25_3bd84a2e","0.0","1.0","18.0","18.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_4030_eb56bb0a","1200.0014, Transistor, NPN, SOT-23, 45V, 500mA, 250mW, SMD (BC817-40,215)","__export__.product_category_25_3bd84a2e","0.0","1.0","18.0","18.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
